Track         : Watkins Glen International (The Glen)
Vehicle       : Test Car D
Driver        : Andrea
Starting Date : 14/05/2006
Starting Time : 19:30:56
Sample Rate   : 20 samples/sec


time    Longitude Acc   Latitude Acc    Accel/Braking G       Lateral G
====    =============   ============    ===============       =========
5.10	-0.010915	0.007221	-0.136594	0.023295
5.15	-0.010344	0.006044	-0.145025	0.018303
5.20	-0.010935	0.004670	-0.124789	0.014975
5.25	-0.010347	0.004277	-0.123103	-0.006993
5.30	-0.006387	0.007979	-0.133221	0.000000
5.35	-0.004911	0.009605	-0.118044	0.024958
5.40	-0.122459	0.126904	-0.104553	0.016639
5.45	-0.120268	0.132300	-0.104553	-0.006993
5.50	0.114617	-0.100866	-0.094435	-0.003497
5.55	0.113884	-0.106477	-0.101180	0.009983
5.60	-0.004580	0.007001	-0.112985	0.016639
5.65	-0.007388	0.005245	-0.114671	0.016639
5.70	-0.008024	0.005114	-0.116358	0.003328
5.75	-0.007326	0.005763	-0.111298	0.014975
5.80	-0.006406	0.006532	-0.116358	-0.001748
5.85	-0.004070	0.008934	-0.118044	0.026622
5.90	-0.066608	0.068177	-0.111298	0.036606
5.95	-0.064126	0.064783	-0.104553	0.031614
6.00	0.063917	-0.056703	-0.099494	-0.015734
6.05	0.058761	-0.056924	-0.094435	-0.031469
6.10	-0.003298	0.006216	-0.052277	-0.052448
6.15	0.003528	0.009927	-0.050590	-0.006993
6.20	-0.001239	0.004456	-0.052277	0.001664
6.25	-0.007776	-0.000899	-0.069140	-0.052448
6.30	-0.002721	0.005001	-0.084317	-0.047203
6.35	0.001693	0.010303	-0.089376	-0.026224
6.40	-0.047526	0.055854	-0.096121	-0.017483
6.45	-0.047741	0.052975	-0.032040	-0.013986
6.50	0.044847	-0.045926	-0.047218	-0.012238
6.55	0.039692	-0.048766	-0.087690	-0.069930
6.60	0.002855	0.010934	-0.111298	-0.082168
6.65	0.014094	0.022214	-0.096121	0.054908
6.70	-0.000709	0.008151	-0.025295	0.058236
6.75	-0.026032	-0.017255	-0.047218	-0.006993
6.80	-0.024547	-0.016630	-0.062395	-0.225524
6.85	0.010082	0.015313	-0.062395	-0.136364
6.90	0.030922	0.025343	-0.082631	-0.027972
6.95	0.014015	0.000450	-0.047218	-0.033217
7.00	-0.003810	-0.007685	-0.112985	-0.094406
7.05	-0.000449	0.007434	-0.109612	-0.010490
7.10	-0.002555	0.009450	-0.111298	-0.041958
7.15	0.002080	0.011318	-0.065767	-0.057692
7.20	0.013056	0.016767	-0.047218	0.071547
7.25	-0.013680	-0.004112	-0.104553	0.061564
7.30	-0.043059	-0.024067	-0.131535	-0.178322
7.35	-0.016079	-0.001437	-0.074199	-0.293706
7.40	0.053022	0.019232	-0.082631	-0.143357
7.45	0.061616	0.007998	-0.086003	-0.033217
7.50	-0.004645	0.005835	-0.139966	-0.026224
7.55	-0.022819	0.011005	-0.138280	-0.057692
7.60	-0.001868	0.011219	-0.099494	-0.038462
7.65	0.000133	0.010372	-0.089376	-0.034965
7.70	-0.002288	0.006888	-0.070826	-0.033217
7.75	-0.007233	0.003187	-0.099494	-0.054196
7.80	-0.011158	0.001747	-0.109612	-0.108392
7.85	-0.003297	0.008251	-0.116358	-0.148601
7.90	0.004324	0.037758	-0.109612	-0.101399
7.95	0.003656	0.025615	-0.087690	-0.118881
8.00	0.010641	-0.030575	-0.077572	-0.111888
8.05	0.017599	-0.016649	-0.074199	-0.064685
8.10	0.012510	0.014617	-0.080944	-0.006993
8.15	-0.000818	0.007312	-0.097808	-0.006993
